Measurement,,,
CAR,CAR Error,Heralded g2,Heralded g2 Error
363.0975072793126,1.4789133939754653,0.010091140731562776,0.0004056
411.18928106056313,1.9148451965301383,0.008770533,0.00040115
510.4871535752565,2.9889648024894577,0.00617824,0.000381504
619.8906332,4.487781048058789,0.006056574,0.000438475
741.6394952,6.570377189805972,0.00483819,0.000448588
842.2049986,8.518424541298323,0.004181907,0.000459166
920.6936283399831,10.453616040972316,0.004234975,0.000492104
1055.4066611157368,14.00762862607906,0.003459539,0.000489419
1207.8056001836126,18.754361496836605,0.003003863,0.000504973
1331.6345864661655,23.616487051333863,0.003071446,0.000584649
,,,
Prediction,,,
CAR,Heralded g2,,
1885.897491,0.00196256,,
1713.531018,0.00216557,,
1563.850141,0.00237839,,
1045.599448,0.00358906,,
748.6157452,0.00504255,,
562.8149814,0.00673482,,
439.1221647,0.00865719,,
352.5253713,0.010806964,,
289.1436108,0.01319741,,
241.615092,0.01581249,,
205.3786741,0.018617968,,