die_x,die_y,v*pi*l (v*cm)
-2,3,0.676778947
-1,3,0.676778947
0,3,0.717258333
1,3,0.717258333
2,3,0.676778947
-3,2,0.714377778
-2,2,0.779321212
-1,2,0.779321212
0,2,0.803675
1,2,0.832945161
2,2,0.806915625
3,2,0.75945
-4,1,0.75945
-3,1,0.779321212
-2,1,0.779321212
-1,1,0.7907125
0,1,0.803675
1,1,0.803675
2,1,0.782463636
3,1,0.782463636
4,1,0.75945
-4,0,0.717258333
-3,0,0.75945
-2,0,0.737751429
-1,0,0.75945
-1,-1,0.81015625
4,0,0.833614194
0,0,0.842980645
-4,-1,0.737751429
-3,-1,0.782463636
-2,-1,0.806915625
3,0,0.782463636
2,0,0.806915625
1,-1,0.81015625
1,0,0.86071
3,-1,0.737751429
4,-1,0.782463636
2,-1,0.784349091
-3,-2,0.740714286
-2,-2,0.836290323
0,-2,0.81015625
1,-2,0.81015625
2,-2,0.785606061
3,-2,0.783720606
-2,-3,0.7625
-1,-3,0.782463636
0,-3,0.785606061
1,-3,0.75945
2,-3,0.737751429