die_x,die_y,loss_dB_per_m
-1,-3,1.847725936
1,-3,1.97765432
-2,-2,1.520661409
0,-2,1.643156583
2,-2,1.259484666
-3,-1,1.735929667
-1,-1,1.743259547
1,-1,1.457573113
3,-1,2.300586837
-4,0,1.825583254
-2,0,1.807578343
0,0,1.773937845
2,0,1.546457024
4,0,1.730813248
-3,1,1.86372788
-1,1,1.722179826
1,1,2.010776351
3,1,1.862715966
-2,2,1.941515712
0,2,1.757459413
2,2,1.865095455
-1,3,1.919452319
1,3,1.919274745
-2,-3,1.71889269
0,-3,1.774805686
2,-3,1.914319071
-3,-2,1.836115994
-1,-2,1.656702212
1,-2,1.917038397
3,-2,1.466786202
-4,-1,1.709226764
-2,-1,2.104358441
0,-1,1.609340301
2,-1,1.714476816
4,-1,1.981222102
-3,0,1.715969719
-1,0,1.855225571
1,0,1.675954604
3,0,1.49838998
-4,1,1.898905365
-2,1,2.040623151
0,1,1.939909064
2,1,1.883833277
4,1,1.845564023
-3,2,2.151579863
-1,2,1.684505483
1,2,1.771616178
3,2,2.199150246
-2,3,1.87870694
0,3,1.743028947
2,3,2.04267701