die_x,die_y,ER_dB
-2,-3,-55.80751965
-1,-3,-55.92336915
0,-3,-56.14573183
1,-3,-58.28346219
2,-3,-56.70182452
-3,-2,-56.92513972
-2,-2,-58.68148266
-2,-3,-56.3961992
0,-1,-50.94782679
0,0,-52.90471599
1,0,-50.38600346
1,-3,-55.54348446
2,-3,-56.27633636
-3,-2,-52.76306017
-2,-2,-55.80882655
-1,-2,-56.41059066
0,-2,-57.49479477
1,-2,-57.28675332
2,-2,-57.40879698
3,-2,-58.91955241
-4,-1,-55.75139294
-3,-1,-55.65275938
-2,-1,-54.80165485
-1,-1,-52.29061413
0,-3,-56.65671775
1,-1,-49.89489484
2,-1,-52.64424468
3,-1,-59.0267042
4,-1,-56.02510306
-4,0,-54.37237523
-3,0,-55.50566136
-2,0,-51.53692321
-1,0,-51.62957776
-1,-3,-54.26637976
-2,-3,-53.27042476
2,0,-49.05636019
3,0,-54.63994221
4,0,-53.25186251
-4,1,-55.44351637
-3,1,-56.57156641
-2,1,-54.59951945
-1,1,-50.83168885
0,1,-48.56254366
1,1,-50.46059132
2,1,-51.96525439
3,1,-57.0040664
4,1,-56.67295983
-3,2,-56.18896563
-2,2,-57.37071232
-1,2,-53.49020045
0,2,-53.58692762
1,2,-52.4844832
2,2,-56.99411626
3,2,-57.68861215
-2,3,-59.37799927
-1,3,-60.14702484
0,3,-58.48498642
1,3,-58.90812715
2,3,-58.09377183